from_date,item_descr,amount
2016-05-13,Menü 1,96
2016-05-13,Menü 2,162
2016-05-13,Menü 3,147
2016-05-17,Menü 1,44
2016-05-17,Menü 2,148
2016-05-17,Menü 3,149
2016-05-18,Menü 1,72
2016-05-18,Menü 2,49
2016-05-18,Menü 3,252
2016-05-19,Menü 1,32
2016-05-19,Menü 2,97
2016-05-19,Menü 3,270
2016-05-20,Menü 1,78
2016-05-20,Menü 2,125
2016-05-20,Menü 3,100
2016-05-23,Menü 1,74
2016-05-23,Menü 2,133
2016-05-23,Menü 3,121
2016-05-24,Menü 1,53
2016-05-24,Menü 2,129
2016-05-24,Menü 3,215
2016-05-25,Menü 1,28
2016-05-25,Menü 2,72
2016-05-25,Menü 3,237
2016-05-30,Menü 1,100
2016-05-30,Menü 2,116
2016-05-30,Menü 3,147
2016-05-31,Menü 1,68
2016-05-31,Menü 2,119
2016-05-31,Menü 3,174
2016-06-01,Menü 1,92
2016-06-01,Menü 2,47
2016-06-01,Menü 3,265
2016-06-02,Menü 1,63
2016-06-02,Menü 2,134
2016-06-02,Menü 3,168
2016-06-03,Menü 1,35
2016-06-03,Menü 2,162
2016-06-03,Menü 3,114
2016-06-06,Menü 1,54
2016-06-06,Menü 2,113
2016-06-06,Menü 3,108
2016-06-07,Menü 1,127
2016-06-07,Menü 2,121
2016-06-07,Menü 3,152
2016-06-08,Menü 1,45
2016-06-08,Menü 2,96
2016-06-08,Menü 3,273
2016-06-09,Menü 1,80
2016-06-09,Menü 2,147
2016-06-09,Menü 3,81
2016-06-10,Menü 1,38
2016-06-10,Menü 2,75
2016-06-10,Menü 3,175
2016-06-13,Menü 1,100
2016-06-13,Menü 2,125
2016-06-13,Menü 3,141
2016-06-14,Menü 1,83
2016-06-14,Menü 2,124
2016-06-14,Menü 3,139
2016-06-15,Menü 1,68
2016-06-15,Menü 2,134
2016-06-15,Menü 3,232
2016-06-16,Menü 1,62
2016-06-16,Menü 2,95
2016-06-16,Menü 3,242
2016-06-17,Menü 1,83
2016-06-17,Menü 2,56
2016-06-17,Menü 3,151
2016-06-20,Menü 1,83
2016-06-20,Menü 2,137
2016-06-20,Menü 3,115
2016-06-21,Menü 1,87
2016-06-21,Menü 2,84
2016-06-21,Menü 3,162
2016-06-22,Menü 1,85
2016-06-22,Menü 2,175
2016-06-22,Menü 3,131
2016-06-23,Menü 1,59
2016-06-23,Menü 2,73
2016-06-23,Menü 3,161
2016-06-24,Menü 1,72
2016-06-24,Menü 2,135
2016-06-24,Menü 3,105
2016-06-27,Menü 1,68
2016-06-27,Menü 2,130
2016-06-27,Menü 3,131
2016-06-28,Menü 1,54
2016-06-28,Menü 2,134
2016-06-28,Menü 3,197
2016-06-29,Menü 1,38
2016-06-29,Menü 2,76
2016-06-29,Menü 3,287
2016-06-30,Menü 1,86
2016-06-30,Menü 2,152
2016-06-30,Menü 3,90
2016-07-01,Menü 1,116
2016-07-01,Menü 2,68
2016-07-01,Menü 3,107
2016-07-04,Menü 1,110
2016-07-04,Menü 2,137
2016-07-04,Menü 3,99
2016-07-05,Menü 1,50
2016-07-05,Menü 2,149
2016-07-05,Menü 3,170
2016-07-06,Menü 1,141
2016-07-06,Menü 2,86
2016-07-06,Menü 3,176
2016-07-07,Menü 1,59
2016-07-07,Menü 2,145
2016-07-07,Menü 3,174
2016-07-08,Menü 1,102
2016-07-08,Menü 2,53
2016-07-08,Menü 3,162
2016-07-11,Menü 1,79
2016-07-11,Menü 2,77
2016-07-11,Menü 3,121
2016-07-12,Menü 1,43
2016-07-12,Menü 2,146
2016-07-12,Menü 3,139
2016-07-13,Menü 1,86
2016-07-13,Menü 2,113
2016-07-13,Menü 3,219
2016-07-14,Menü 1,45
2016-07-14,Menü 2,142
2016-07-14,Menü 3,176
2016-07-15,Menü 1,93
2016-07-15,Menü 2,129
2016-07-15,Menü 3,126
2016-07-18,Menü 1,72
2016-07-18,Menü 2,177
2016-07-18,Menü 3,82
2016-07-19,Menü 1,68
2016-07-19,Menü 2,109
2016-07-19,Menü 3,158
2016-07-20,Menü 1,59
2016-07-20,Menü 2,107
2016-07-20,Menü 3,215
2016-07-21,Menü 1,63
2016-07-21,Menü 2,129
2016-07-21,Menü 3,169
2016-07-22,Menü 1,100
2016-07-22,Menü 2,68
2016-07-22,Menü 3,137
2016-07-25,Menü 1,76
2016-07-25,Menü 2,77
2016-07-25,Menü 3,142
2016-07-26,Menü 1,91
2016-07-26,Menü 2,128
2016-07-26,Menü 3,152
